,bot_reply,code,id_telegram,text,topic
0,0q,0,126184146,/start,
1,1q,1,126184147,Start,
2,2q,2,126184148,Media,Media
3,4q,4,126184149,Querying,Media
4,41q,41,126184150,What is a type of Italian TV Station?,Media
5,412q,4,126184151,No,Media
6,41q,41,126184152,What is the Guardian?,Media
7,412q,4,126184153,No,Media
8,41q,41,126184154,I want to change the topic,Media
9,411q,411,126184155,Yes,Media
10,1q,1,126184156,New conversation,
11,2q,2,126184157,Music,Music
12,3q,3,126184158,Enriching,Music
13,31q,31,126184159,to walk,Music
14,311q,311,126184160,Yes,Music
15,1q,1,126184161,New conversation,
16,2q,2,126184162,History,History
17,4q,4,126184163,Querying,History
18,41q,41,126184164,When did World War 2 happen?,History
19,412q,4,126184165,No,History
20,41q,41,126184166,Where is Rome located?,History
21,412q,4,126184167,No,History
22,41q,41,126184168,What is the capital of France?,History
23,412q,4,126184169,No,History
24,41q,41,126184170,What is the capital of Germany?,History
25,412q,4,126184171,No,History
26,41q,41,126184172,What is the purpose of a car?,History
27,412q,4,126184173,No,History
